CE30_Copyright	Copyright
_wcepb_Timer_Events_Database	Timer Events Database
_wcepb_TouchCalibrateUI_Done	TouchCalibrateUI_Done
_wcepb_TouchCalibrateUI_DrawConfirmationScreen	TouchCalibrateUI_DrawConfirmationScreen
_wcepb_TouchCalibrateUI_DrawMainScreen	TouchCalibrateUI_DrawMainScreen
_wcepb_TouchCalibrateUI_HandleUserInputMessage	TouchCalibrateUI_HandleUserInputMessage
_wcepb_TouchCalibrateUI_Initialize	TouchCalibrateUI_Initialize
_wcepb_TouchCalibrateUI_WaitForConfirmation	TouchCalibrateUI_WaitForConfirmation
_wcepb_Transitioning_Between_Power_States	Transitioning Between Power States
_wcepb_Two_and_Four_Digit_Dates_in_Windows_CE	Two-Digit and Four-Digit Dates in Windows CE
_wcepb_UIPARAM	UIPARAM
_wcepb_UnMapPtr	UnMapPtr
_wcepb_UnhookInterrupt	UnhookInterrupt
_wcepb_UnlockPages	UnlockPages
_wcepb_Using_the_Base_Notification_Engine	Using the Base Notification Engine
_wcepb_Verifying_a_Signature	Verifying a Signature
_wcepb_VirtualCopy	VirtualCopy
_wcepb_VirtualSetPageFlags	VirtualSetPageFlags
_wcepb_WINDOWINFO	WINDOWINFO
_wcepb_WIN_CERTIFICATE	WIN_CERTIFICATE
_wcepb_WRITE_PORT_BUFFER_UCHAR	WRITE_PORT_BUFFER_UCHAR
_wcepb_WRITE_PORT_BUFFER_ULONG	WRITE_PORT_BUFFER_ULONG
_wcepb_WRITE_PORT_BUFFER_USHORT	WRITE_PORT_BUFFER_USHORT
_wcepb_WRITE_PORT_UCHAR	WRITE_PORT_UCHAR
_wcepb_WRITE_PORT_ULONG	WRITE_PORT_ULONG
_wcepb_WRITE_PORT_USHORT	WRITE_PORT_USHORT
_wcepb_WRITE_REGISTER_BUFFER_UCHAR	WRITE_REGISTER_BUFFER_UCHAR
_wcepb_WRITE_REGISTER_BUFFER_ULONG	WRITE_REGISTER_BUFFER_ULONG
_wcepb_WRITE_REGISTER_BUFFER_USHORT	WRITE_REGISTER_BUFFER_USHORT
_wcepb_WRITE_REGISTER_UCHAR	WRITE_REGISTER_UCHAR
_wcepb_WRITE_REGISTER_ULONG	WRITE_REGISTER_ULONG
_wcepb_WRITE_REGISTER_USHORT	WRITE_REGISTER_USHORT
_wcepb_Windows_CE_for_OEMs	Windows CE for OEMs
_wcepb_WriteRegistryToOEM	WriteRegistryToOEM
_wcepb__SH3CacheLines	_SH3CacheLines
